
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 54.206 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.861	6.101	
Aelurodon_asthenostylus	16.482	14.416	
Aelurodon_ferox	21.191	6.567	
Aelurodon_mcgrewi	15.658	9.627	
Aelurodon_montanensis	15.035	15.035	
Aelurodon_stirtoni	16.924	10.844	
Aelurodon_taxoides	17.731	5.046	
Aelurodon_wheelerianus	19.663	19.663	
Alopex	1.394	1.394	
Alopex_lagopus	1.315	0.002	
Archaeocyon_falkenbachi	29.785	29.785	
Archaeocyon_leptodus	32.883	21.326	
Archaeocyon_pavidus	33.208	27.37	
Borophaginae	22.776	6.012	
Borophagus	12.854	1.979	
Borophagus_diversidens	4.822	1.815	
Borophagus_dudleyi	5.167	5.167	
Borophagus_hilli	16.661	1.84	
Borophagus_littoralis	14.226	10.355	
Borophagus_orc	6.385	4.097	
Borophagus_parvus	7.512	6.596	
Borophagus_pugnator	20.25	5.72	
Borophagus_secundus	18.526	5.014	
Caedocyon_tedfordi	30.592	30.592	
Canidae	36.948	0.045	
Caninae	25.321	0.069	
Canini	9.56	2.248	
Canis	19.856	0.001	
Canis_(Pseudalopex)	0.677	0.055	
Canis_adustus	3.445	0.008	extant
Canis_anthus	2.3	1.783	extant
Canis_apolloniensis	2.426	2.426	
Canis_armbrusteri	1.485	0.035	
Canis_aureus	3.157	0.004	extant
Canis_cedazoensis	0.496	0.496	
Canis_dirus	2.554	0.012	
Canis_edwardii	15.035	0.317	
Canis_familiaris	1.349	0.002	extant
Canis_ferox	9.762	1.895	
Canis_latrans	4.376	0.002	extant
Canis_lepophagus	8.261	0.099	
Canis_lupus	3.48	0.001	extant
Canis_mesomelas	4.545	0.001	extant
Canis_proplatensis	1.707	1.707	
Canis_rufus	4.556	0.046	extant
Canis_thooides	2.223	2.223	
Carpocyon	20.848	15.384	
Carpocyon_compressus	15.899	6.689	
Carpocyon_limosus	9.546	9.203	
Carpocyon_robustus	15.137	9.604	
Carpocyon_webbi	15.658	6.961	
Cerdocyon_avius	4.521	2.316	
Cerdocyon_texanus	10.16	3.163	
Cerdocyon_thous	0.057	0.007	
Chailicyon_crassidens	38.577	38.577	
Chrysocyon	1.257	1.257	
Chrysocyon_brachyurus	2.308	2.117	
Chrysocyon_nearcticus	4.076	3.177	
Cormocyon	27.894	27.894	
Cormocyon_copei	30.573	12.614	
Cormocyon_haydeni	26.29	21.282	
Cubacyon_transversidens	0.409	0.409	
Cuon	0.761	0.118	
Cuon_alpinus	0.721	0.05	
Cynarctoides_acridens	27.653	13.923	
Cynarctoides_emryi	16.601	16.17	
Cynarctoides_gawnae	18.151	13.442	
Cynarctoides_harlowi	22.002	22.002	
Cynarctoides_lemur	28.971	20.682	
Cynarctoides_luskensis	23.327	20.465	
Cynarctoides_roii	30.605	24.7	
Cynarctoides_whistleri	18.27	16.606	
Cynarctus	14.634	7.03	
Cynarctus_crucidens	22.523	7.129	
Cynarctus_galushai	15.331	14.645	
Cynarctus_marylandica	16.169	14.723	
Cynarctus_saxatilis	15.9	13.693	
Cynarctus_voorhiesi	13.445	10.404	
Cynarctus_wangi	15.16	15.16	
Cynodesmus_martini	26.162	26.162	
Cynodesmus_thooides	33.18	21.702	
Cynodictis	54.206	28.752	
Cynodictis_lacustris	37.864	34.873	
Cynotherium	1.772	0.117	
Cynotherium_sardous	3.516	0.066	
Desmocyon	20.478	20.478	
Desmocyon_matthewi	20.228	17.113	
Desmocyon_thomsoni	25.06	8.108	
Dusicyon	1.064	0.003	
Dusicyon_avus	0.401	0.023	
Dusicyon_culpaeus	0.812	0.812	
Dusicyon_sechurae	0.125	0.125	
Ectopocynus_antiquus	31.458	28.618	
Ectopocynus_intermedius	22.49	22.49	
Ectopocynus_simplicidens	19.1	16.686	
Enhydrocyon	30.967	23.011	
Enhydrocyon_basilatus	23.405	23.405	
Enhydrocyon_crassidens	30.352	20.751	
Enhydrocyon_pahinsintewakpa	30.222	22.162	
Enhydrocyon_stenocephalus	28.815	26.24	
Epicyon	12.848	5.832	
Epicyon_aelurodontoides	9.908	9.908	
Epicyon_haydeni	21.294	4.977	
Epicyon_saevus	22.635	5.162	
Eucyon	11.393	5.317	
Eucyon_davisi	20.239	3.495	
Eucyon_skinneri	11.695	11.695	
Euoplocyon_brachygnathus	19.092	13.912	
Euoplocyon_spissidens	16.161	16.161	
